Cell.Potential (V)	Cell.Current (A)
1.739578	1.139165E-005
1.738655	6.940822E-006
1.737286	5.160492E-006
1.736354	-6.411654E-006
1.735544	6.050657E-006
1.734588	3.380162E-006
1.733284	4.270327E-006
1.732304	-5.521489E-006
1.731397	-4.631324E-006
1.730741	1.495231E-005
1.729623	-1.804985E-007
1.728367	-7.301819E-006
1.727266	-0.000002851
1.726626	1.599832E-006
1.725524	6.050657E-006
1.724447	1.599832E-006
1.723402	-0.000002851
1.722438	-4.631324E-006
1.721612	-5.521489E-006
1.720356	1.599832E-006
1.719368	9.611317E-006
1.71842	-4.631324E-006
1.717489	6.940822E-006
1.716168	0.000007831
1.715585	-1.960829E-006
1.714459	-3.741159E-006
1.713487	7.096665E-007
1.712523	4.270327E-006
1.711332	4.270327E-006
1.710474	-0.000008192
1.709575	1.599832E-006
1.708562	-1.960829E-006
1.707477	1.050148E-005
1.706302	-5.521489E-006
1.705557	1.599832E-006
1.704585	-5.521489E-006
1.703297	4.270327E-006
1.702471	1.599832E-006
1.701385	-5.521489E-006
1.700583	5.160492E-006
1.699287	-6.411654E-006
1.698469	4.270327E-006
1.697481	-6.411654E-006
1.696679	0.000007831
1.695399	-0.000008192
1.694314	6.940822E-006
1.693398	-3.741159E-006
1.692442	-1.960829E-006
1.691705	-3.741159E-006
1.69032	-1.804985E-007
1.689429	-0.000002851
1.688481	0.00000249
1.687493	-1.070664E-006
1.686262	0.00000249
1.685225	1.599832E-006
1.684456	0.00000249
1.68354	-3.741159E-006
1.682252	-6.411654E-006
1.681467	0.00000249
1.680478	-1.070664E-006
1.679498	-4.631324E-006
1.678299	0.000007831
1.677376	-0.000002851
1.676517	-1.070664E-006
1.675505	-4.631324E-006
1.674492	-6.411654E-006
1.673431	0.00000249
1.672532	6.940822E-006
1.671584	0.00000249
1.670726	4.270327E-006
1.669267	-4.631324E-006
1.668498	1.599832E-006
1.667607	7.096665E-007
1.666643	-3.741159E-006
1.665169	5.160492E-006
1.664399	-1.804985E-007
1.663549	1.139165E-005
1.662479	0.00000249
1.661175	0.00000249
1.66026	-1.960829E-006
1.659555	4.270327E-006
1.658429	7.096665E-007
1.657652	-1.804985E-007
1.656485	-9.082149E-006
1.655416	-0.000013533
1.654509	6.050657E-006
1.653439	3.380162E-006
1.652297	-0.000002851
1.65135	7.096665E-007
1.650693	8.721152E-006
1.649616	1.139165E-005
1.648231	-1.070664E-006
1.647405	7.096665E-007
1.646425	6.050657E-006
1.645647	6.050657E-006
1.644229	-1.264281E-005
1.6435	-1.960829E-006
1.642472	1.599832E-006
1.641451	-7.301819E-006
1.640487	-4.631324E-006
1.639215	7.096665E-007
1.638567	7.096665E-007
1.637457	4.270327E-006
1.636534	-3.741159E-006
1.635262	5.160492E-006
1.634282	0.000007831
1.633577	1.050148E-005
1.632605	1.599832E-006
1.631253	-6.411654E-006
1.630248	-1.960829E-006
1.629543	7.096665E-007
1.628466	7.096666E-007
1.627316	-5.521489E-006
1.626441	-1.070664E-006
1.625348	-1.175264E-005
1.624562	-1.804985E-007
1.623225	-3.741159E-006
1.622391	-6.411654E-006
1.62133	3.380162E-006
1.620455	-6.411654E-006
1.619491	7.096665E-007
1.618252	-5.521489E-006
1.617401	0.00000249
1.616534	-1.804985E-007
1.615498	-4.631324E-006
1.614404	-7.301819E-006
1.613221	-7.301819E-006
1.612379	-1.804985E-007
1.611609	-0.000002851
1.610451	7.096666E-007
1.609349	-3.741159E-006
